,TITLE
3,Emissão de CO2 e potencial de conservação de C em solo submetido à aplicação de diferentes adubos orgânicos
4,Sistema computacional para otimização na seleção de fertilizantes
2,Desenvolvimento de um penetrômetro manual eletrônico
5,Desenvolvimento inicial de plantas de girassol em condições de estresse hídrico
6,Desenvolvimento de um aparelho alternativo para determinação da estabilidade de agregados via úmida
7,Distribuição e probabilidade de ocorrência de precipitação em Cáceres (MT)
8,Energy-Based Evaluations on Eucalyptus Biomass Production
11,Desempenho agronômico de alface americana fertilizada com torta de filtro em ambiente protegido
14,"Concentração de material particulado na região de Tangará da Serra-MT, sul da amazônia legal"
36,"Sowing dates and plant density of peanut cultivars in different soil and climatic conditions of Mato Grosso state, Brazil"
12,"Energy demand in agricultural biomass production in Parana state, Brazil"
13,Energy demand in sugarcane residue collection and transportation
15,Spatial variability of the ten-day rainfall in the months in which the sowing of soybean and winter corn begins in the state of Mato Grosso
18,Capacidade estática de armazenagem de grãos em Tangará da Serra e microrregião
17,Estimativa da capacidade de armazenamento de água no solo para a microrregião da BAP/MT
16,Sowing speed in no tillage system on early development of maize crop
19,Mobility of flumioxazin in argisol at southern Amazon
20,Laboratory temperature-compensating calibration procedure for soil water content determination by reflectometry
22,PRODUCTIVE POTENTIAL OF SECOND GROWING SEASON OF MAIZE IN DIFFERENT SOWING TIMES SUBJECTED TO SUPPLEMENTARY IRRIGATION
21,Modeling cost and energy demand in agricultural machinery fleets for soybean and maize cultivated using a no-tillage system
23,"Adjustment and evaluation of cropgro-soybean and ceres-maize for different genetic material in a region of mato grosso state, brazil"
24,"Effect of Soil Coverage on Dual Crop Coefficient of Maize in a Region of Mato Grosso, Brazil"
25,Effects of the ENSO on the Variability of Precipitation and Air Temperature in Agricultural Regions of Mato Grosso State
31,Impacts of Future Climate Predictions on Second Season Maize in an Agrosystem on a Biome Transition Region in Mato Grosso State
32,"Variabilidade mensal e sazonal da temperatura do solo em diferentes condições de cobertura e de profundidades na região de Tangará da Serra, Mato Grosso"
33,Influência da cobertura de braquiária na temperatura do solo cultivado com milho verde
