INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Colégio Estadual Dona Iayá,1998,06,06,06,,ENSINO-MEDIO,"['Geografia', 'Informática', 'Sociologia']"
Colégio Estadual Dona Iayá,1999,06,06,06,,ENSINO-FUNDAMENTAL,"['Geografia', 'Informática']"
Universidade Estadual de Goiás Pólo Catalão,2002,6,6,6,Lincenciatura Plena Parcelada Em Geografia,GRADUACAO,['Noções básicas de informática']
Universidade Estadual de Goiás Pólo Catalão,2002,8,8,8,Licenciatura Plena Parcelada Em Letras Inglês,GRADUACAO,['Tecnologia e Educação: o uso da TV e do vídeo como recurso transdisciplinar']
Universidade Estadual de Goiás Pólo Catalão,2002,6,6,6,Lincenciatura Plena Parcelada Em História,GRADUACAO,['Noções básicas de informática']
Universidade Estadual de Goiás Pólo Catalão,2003,9,9,9,História,GRADUACAO,['Didática']
Universidade Estadual de Goiás Pólo Catalão,2004,6,6,6,Geografia,GRADUACAO,['Geografia do Brasil']
Centro de Ensino Superior de Catalão,2004,06,06,06,PEDAGOGIA,GRADUACAO,"['Monografia, História da Educação, Metodologia do Trabalho Ciêntífico, Fundamentos Metodologicos de Geografia e História, Fundamentos Metodológicos de Ciências']"
uNIVERSIDADE fEDERAL DE uBERLANDIA,2007,12,12,12,História,GRADUACAO,"['História do Brasil I', 'História e Cultura Popular', 'História Moderna I', 'Introdução a História Antiga']"
uNIVERSIDADE fEDERAL DE uBERLANDIA,2011,12,12,12,Pedagogia,GRADUACAO,['Construção do Conhecimento em História']
uNIVERSIDADE fEDERAL DE uBERLANDIA,2011,12,12,12,História,GRADUACAO,['Projeto Integrado de Práticas Educativas IV']
uNIVERSIDADE fEDERAL DE uBERLANDIA,2012,12,12,12,História,GRADUACAO,"['Cultura Afro-Brasileira', 'Projeto Integrado de Práticas Educativas III', 'TCC 1']"
Universidade Federal de Uberlândia,2016,12,12,12,Enfermagem,GRADUACAO,['Estágio Supervisionado de Prática Educativa II']
Universidade Federal de Uberlândia,2016,06,06,06,Enfermagem,GRADUACAO,['Estágio Supervisionado de Prática Educativa II']
Universidade Federal de Uberlândia,2016,12,12,12,Pedagogia,GRADUACAO,['Projeto Integrado de Práticas Educativas 1']
uNIVERSIDADE fEDERAL DE uBERLANDIA,2016,06,06,06,Licenciatura em Enfermagem,GRADUACAO,['Estágio Supervisionado de Prática Educativa II']
uNIVERSIDADE fEDERAL DE uBERLANDIA,2016,12,12,12,Pedagogia,GRADUACAO,"['Projeto Integrado de Práticas Educativas 1 (turma E)', 'Projeto Integrado de Práticas Educativas 1 (turma R)']"
uNIVERSIDADE fEDERAL DE uBERLANDIA,2016,12,12,12,Licenciatura em Enfermagem,GRADUACAO,['Estágio Supervisionado de Prática Educativa II']
Universidade Federal de Uberlândia,2016,12,12,12,Pedagogia,GRADUACAO,['Projeto Integrado de Práticas Educativas 1']
uNIVERSIDADE fEDERAL DE uBERLANDIA,2017,,ATUAL,ATUAL,Licenciatura em Enfermagem,GRADUACAO,['Estágio Supervisionado de Prática Educativa II']
Universidade Federal de Uberlândia,2017,,ATUAL,ATUAL,Enfermagem,GRADUACAO,['Estágio Supervisionado de Prática Educativa II']
Universidade Federal de Uberlândia,2017,,ATUAL,ATUAL,Pedagogia,GRADUACAO,"['Projeto Integrado de Prática Educativa 1 (turma E)', 'Projeto Integrado de Prática Educativa 1 (turma R)']"
uNIVERSIDADE fEDERAL DE uBERLANDIA,2017,,ATUAL,ATUAL,Pedagogia,GRADUACAO,"['Projeto Integrado de Práticas Educativas 1 (turma E)', 'Projeto Integrado de Práticas Educativas 1 (turma R)']"
