TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
"Gas Chromatographic Analysis Of Amino Acids As Ethyl Chloroformate Derivatives, Part 1 - Composition Of Proteins Associated With Art Objects And Monuments",1996,,Inglês,Journal of the American Institute for Conservation,XX,0197-1360,"['M. SCHILLING', 'H. KHANJIAN', 'Luiz Antonio Cruz Souza']","['1', '2', '3']",['3'],-99
The Use Of Ftir Spectrometry For The Identification And Characterization Of Gesso-Glue Grounds In Wooden Polychromed Sculptures And Panel Paintings,1995,,Inglês,Materials Research Society Symposia Proceedings,XX,0272-9172,"['Luiz Antonio Cruz Souza', 'M. DERRICK']","['1', '2']",['1'],-99
A Importancia da Conservacao Preventiva,1994,,Português,Revista da Biblioteca Mário de Andrade,XX,0104-0863,"['A. C. LUIZ', 'Luiz Antonio Cruz Souza']","['1', '2']",['2'],-99
Embedding Paint Cross-Section Samples in Polyester Resins: Problems and Solutions,1994,10.1179/019713694806083087,Inglês,Journal of the American Institute for Conservation,XX,0197-1360,"['M. DERRICK', 'Luiz Antonio Cruz Souza']","['1', '2']",['2'],-99
"Caracterização mineralógica e composição química das inclusões fluidas de berilo do pegmativo Ipê, município de Governador Valadares, MInas Gerais",2000,,Português,Geonomos,B4,0104-4486,"['R M da S Belo', 'A L Gandini', 'V R P R  Marciano', 'K Fuzikawa', 'F M S Carvalho', 'D P Svisero', 'Luiz Antonio Cruz Souza', 'M S  S Dantas']","['1', '2', '3', '4', '5', '6', '7', '8']",['7'],-99
Metal Corrosion in Polychrome Baroque Lead Sculptures: a Case Study,2013,10.5935/0103-5053.20130170,Inglês,Journal of the Brazilian Chemical Society (Impresso),XX,0103-5053,"['FARIA, DALVA L. A. DE', 'PUGLIERI, THIAGO S.', 'Luiz Antonio Cruz Souza']","['1', '2', '3']",['3'],-99
Characterization of corrosion products on metals excavated from seal hunters&amp;apos; occupation in Antarctica in the eighteenth and nineteenth centuries,2015,10.1179/2047058414Y.0000000138,Inglês,Studies in Conservation,XX,2047-0584,"[""DE FIGUEIREDO, JOÃO CURA D'ARS"", 'OLIVEIRA, JULIANA ALVES DOS SANTOS', 'DE SOUZA, GLÁUCIA SILVA MARQUES', 'FRONER, YACY-ARA', 'Luiz Antonio Cruz Souza', 'ZARANKIN, ANDRÉS']","['1', '2', '3', '4', '5', '6']",['5'],0.797
Scientific analysis and historical aspects as tools in the legal investigation of paintings: A case study in Brazil,2014,10.1016/j.scijus.2014.06.013,Inglês,Science &amp; Justice,A3,1355-0306,"['SCHOSSLER, PATRICIA', ""DE FIGUEIREDO JÚNIOR, JOÃO CURA D'ARS"", 'FORTES, ISABEL', 'Luiz Antonio Cruz Souza']","['1', '2', '3', '4']",['4'],-99
The use of industrial paint on wood by Lygia Clark,2016,10.1080/00393630.2016.1184054,Inglês,Studies in Conservation,XX,2047-0584,"['GIOVANI, GIULIA', 'Luiz Antonio Cruz Souza', 'FRONER, YACY-ARA', 'ROSADO, ALESSANDREA']","['1', '2', '3', '4']",['2'],0.797
CONCRETE ART IN ARGENTINA AND BRAZIL,2017,,Inglês,Conservation Perspectives: The GCI Newsletter,C,0898-4808,"['Fernando Marte', 'Luiz Antonio Cruz Souza']","['1', '2']",['2'],-99
Early human dispersals within the Americas,2018,10.1126/science.aav2621,Inglês,SCIENCE,XX,0036-8075,"['MORENO-MAYAR, J. VÍCTOR', 'PINOTTI, THOMAZ', 'RASMUSSEN, SIMON', 'MARGARYAN, ASHOT', 'IRAETA ORBEGOZO, MIREN', 'MYLOPOTAMITAKI, DOROTHEA', 'WOOLLER, MATTHEW', 'BATAILLE, CLEMENT', 'BECERRA-VALDIVIA, LORENA', 'CHIVALL, DAVID', 'COMESKEY, DANIEL', 'VINNER, LASSE', 'DEVIÈSE, THIBAUT', 'GRAYSON, DONALD K.', 'GEORGE, LEN', 'HARRY, HAROLD', 'ALEXANDERSEN, VERNER', 'PRIMEAU, CHARLOTTE', 'ERLANDSON, JON', 'RODRIGUES-CARVALHO, CLAUDIA', 'REIS, SILVIA', 'BASTOS, MURILO Q. R.', 'DE BARROS DAMGAARD, PETER', 'CYBULSKI, JEROME', 'VULLO, CARLOS', 'MORELLO, FLAVIA', 'VILAR, MIGUEL', 'WELLS, SPENCER', 'GREGERSEN, KRISTIAN', 'HANSEN, KASPER LYKKE', 'LYNNERUP, NIELS', 'MIRAZÓN LAHR, MARTA', 'KJÆR, KURT', 'DE LA FUENTE, CONSTANZA', 'STRAUSS, ANDRÉ', 'ALFONSO-DURRUTY, MARTA', 'SALAS, ANTONIO', 'SCHROEDER, HANNES', 'HIGHAM, THOMAS', 'MALHI, RIPAN S.', 'RASIC, JEFFREY T.', 'Luiz Antonio Cruz Souza', 'SANTOS, FABRICIO R.', 'MALASPINAS, ANNA-SAPFO', 'CHAN, JEFFREY', 'SIKORA, MARTIN', 'NIELSEN, RASMUS', 'SONG, YUN S.', 'MELTZER, DAVID J.', 'WILLERSLEV, ESKE', 'SPENCE, JEFFREY P.', 'ALLENTOFT, MORTEN E.', 'VIMALA, THARSIKA', 'RACIMO, FERNANDO']","['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '51', '52', '53', '54', '6', '7', '8', '9']",['47'],-99
Uso de Sistemas de Informação Multimídia em Acervos Permanentes,2004,,Português,INFOCOMP (UFLA),C,1807-4545,"['Flávio Humberto Correa Nunes', 'Arnaldo de Albuquerque Araújo', 'Luiz Antonio Cruz Souza']","['1', '2', '3']",['3'],-99
Disponibilizando e Preservando o Acervo sobre Conservação e Restauração de Bens Culturais Móveis do CECOR,2002,,Português,REIC. Revista Eletrônica de Iniciação Científica,C,1519-8219,"['Flávio Henrique Correa Nunes', 'Luiz Antonio Cruz Souza', 'Arnaldo de Albuquerque Araújo', 'Marcelo Albuquerque Correa']","['1', '2', '3', '4']",['2'],-99
Mössbauer study of rock paintings from Minas Gerais (Brazil).,1991,10.1007/BF02398185,Inglês,Hyperfine Interactions,B4,0304-3843,"['Geraldo Magela da Costa', 'Luiz Antonio Cruz Souza', 'M F de Jesus Filho']","['1', '2', '3']",['2'],-99
Digitalização e Gerenciamento do Acervo sobre Conservação e Restauração de Bens Culturais Móveis do CECOR,2009,,Português,Fórum Patrimônio : Ambiente Construído e Patrimônio Sustentável (UFMG. Online),XX,1982-9531,"['Flávio Humberto Cabral Nunes', 'Arnaldo de Albuquerque Araújo', 'Luiz Antonio Cruz Souza']","['1', '2', '3']",['3'],-99
Study of the pigments elementary chemical composition of a painting in process of attribution to Gainsborough employing a portable X-rays fluorescence system.,2007,10.1016/j.nima.2007.05.141,Inglês,Nuclear Instruments &amp; Methods in Physics Research A,A3,0168-9002,"['Carlos Roberto Appoloni', 'Maria Sélia Blonski', 'P. S. PARREIRA', 'Luiz Antonio Cruz Souza']","['1', '2', '3', '4']",['4'],-99
Análise de pinturas rupestres do Abrigo do Janelão (Minas Gerais) por microscopia raman,2011,10.1590/s0100-40422011000800012,Inglês,Química Nova (Impresso),A4,0100-4042,"['Dalva Lucia Araujo de Faria', 'Francisco Nascimento Lopes', 'Luiz Antonio Cruz Souza', 'Castello Branco, HDO']","['1', '2', '3', '4']",['3'],-99
Os pigmentos e corantes encontrados nas escavações do Grande Abrigo de Santana do Riacho,1991,,Português,"Arquivos do Museu de Hist. Nat. UFMG,",XX,-,"['M F de Jesus Filho', 'Geraldo Magela da Costa', 'Luiz Antonio Cruz Souza']","['1', '2', '3']",['3'],-99
Acrylic and Vinyl Resin Identification by Pyrolysis-Gas Chromatography/Mass Spectrometry: A Study of Cases in Modern Art Conservation,2013,10.1080/00032719.2013.777925,Inglês,Analytical Letters,B1,0003-2719,"[""João Cura D'Ars de Figueiredo Junior"", 'SCHOSSLER, PATRICIA', 'Isabel Fortes', 'Fernando Carazza', 'Luiz Antonio Cruz Souza']","['1', '1', '2', '4', '5']",['5'],-99
A Note on the Products of the Reaction of AMT with Bronze and with Three Corrosion Products of Bronze,2007,10.1179/sic.2007.52.2.147,Inglês,Studies in Conservation,XX,0039-3630,"[""João Cura D'Ars de Figueiredo Junior"", 'Vito Modesto De Bellis', 'Vanessa Freitas Cunha Lins', 'Luiz Antonio Cruz Souza']","['1', '2', '3', '4']",['4'],-99
"Thermal decomposition of 5-amino-2-thiol-1,3,4-thiadiazole (&lt;emphasis type='?Italic?'&gt;HATT&lt;/emphasis&gt;) Cu(II) and Zn(II) complexes",2005,10.1007/s10973-005-0056-4,Inglês,Journal of Thermal Analysis and Calorimetry,A2,1388-6150,"[""João Cura D'Ars de Figueiredo Junior"", 'Vito Modesto De Bellis', 'Maria Irene Yoshida', 'Vanessa Freitas Cunha Lins', 'Luiz Antonio Cruz Souza']","['1', '2', '3', '4', '5']",['5'],2.471
Caracterização de crostas de origem biológica em sítios arqueológicos no Vale do Rio Peruaçu ? MG,2010,,Português,Revista de História da Arte e Arqueologia,XX,1413-0874,"['Luíza Maria de Melo Pinheiro', 'Maria Irene Yoshida', 'Luiz Antonio Cruz Souza']","['1', '2', '3']",['3'],-99
Oxalato de cálcio em sítios arqueológicos: estudo de casos em abrigos no Parque Nacional Cavernas do Peruaçu (municípios de Januária e Itacarambi),2007,,Português,"Revista Brasileira de Arqueometria, Restauração e Conservação",XX,1982-1174,"['Luíza Maria de Melo Pinheiro', 'Luiz Antonio Cruz Souza', 'Maria Irene Yoshida']","['1', '2', '3']",['2'],-99
"Amblygonite-montebrasite from Divino das Laranjeiras - Mendes Pimentel pegmatitic swarm, Minas Gerais, Brazil.II. Mineralogy.",2008,,Português,Romanian Journal of Mineral Deposits,C,1220-5648,"['Ricardo Augusto Scholz Cipriano', 'Joachim Karfunkel', 'Vladimir Bermanec', 'Geraldo Magela da Costa', 'Adolf Heinrich Horn', 'Luiz Antonio Cruz Souza', 'Bilal, E.']","['1', '2', '3', '4', '5', '6', '7']",['6'],-99
"Berilo dos pegmatitos Ipê, Ferreirinha, Jonas Lima e Escondido, Governador Valadares, MG: Dados cristaloquímicos",2007,,Português,Geochimica Brasiliensis,B4,0102-9800,"['Daniela Teixeira de Newman Carvalho', 'Antônio Luciano Gandini', 'Rosa Maria da Silveira Bello', 'Maria de Lourdes Souza Fernandes', 'Vitória Régia P R O Marciano', 'Geraldo Magela da Costa', 'Luiz Antonio Cruz Souza']","['1', '2', '3', '4', '5', '6', '7']",['7'],-99
A conservação como instrumento de tutela: uma questão de cultura e educação,2013,,Português,CADERNOS CAMILLIANI,XX,1518-0395,"['Soraya Aparecida Alvares Coppola', 'Luiz Antonio Cruz Souza']","['1', '2']",['2'],-99
"CONSIDERAÇÕES SOBRE SISTEMAS DE CLIMATIZAÇÃO EMPREGADOS NO GERENCIAMENTO AMBIENTAL DE COLEÇÕES, VISANDO SUA CONSERVAÇÃO PREVENTIVA",2014,,Português,Anais do Museu Histórico Nacional,NP,1413-1803,"['Willi de Barros Gonçalves', 'Luiz Antonio Cruz Souza']","['1', '2']",['2'],-99
"Considerations on air conditioning systems used in environmental management of collections, aiming their preventive conservation",2014,,Português,Anais do Museu Histórico Nacional,NP,1413-1803,"['Willi de Barros Gonçalves', 'Luiz Antonio Cruz Souza']","['1', '2']",['2'],-99
O debate contemporâneo sobre as interfaces transdisciplinares de dois campos de conhecimento em consolidação: a Ciência da Sustentabilidade e a Ciência do Patrimônio,2014,,Português,REVISTA DO PROGRAMA DE PÓS GRADUAÇÃO EM ARTES DA ESCOLA DE BELAS ARTES DA UFMG,XX,2238-2046,"['Willi de Barros Gonçalves', 'Luiz Antonio Cruz Souza']","['1', '2']",['2'],-99
Conservação de acervo arqueológico: estudo de caso de uma vasilha tupiguarani,2013,,Português,Arquivos do Museu de Historia Natural,XX,0102-4272,"['Yacy Ara Froner Gonçalves', 'Maria Jaqueline Rodet', 'Isolda Maria de Castro Mendes', 'Alexandre Leão', 'Luiz Antonio Cruz Souza', 'Marcos Gohn', 'Ana Carolina Motta Rocha Montalvao']","['1', '2', '3', '4', '5', '6', '7']",['5'],-99
Low Toxicity Solvent Compositions for Varnishes Formulations for Use in Art Conservation,2020,10.14568/cp2020041,Inglês,CONSERVAR PATRIMÓNIO,A3,1646-043X,"['BOELSUMS, MARIAH', 'DE FIGUEIREDO JUNIOR, JOÃO CURA D?ARS', 'Luiz Antonio Cruz Souza']","['1', '2', '3']",['3'],-99
Conservação de acervo arqueológico: estudo de caso de uma vasilha tupiguarani,2012,,Português,Arquivos do Museu de Historia Natural,XX,0102-4272,"['Yacy-Ara Froner Gonçalves', 'Ana Carolina Motta Rocha Montalvão', 'Maria Jacqueline Rodet', 'Isolda Maria de Castro Mendes', 'Alexandre Leão', 'Luiz Antonio Cruz Souza', 'Marcos Faria Gohn']","['1', '2', '3', '4', '5', '6', '7']",['6'],-99
PESQUISA E FORMAÇÃO ESPECIALIZADA EM CONSERVAÇÃO DE MATERIAIS PÉTREOS: DA ARQUITETURA À INDÚSTRIA LÍTICA; DA ARTE ACADÊMICA AOS OBJETOS DE ARTE MODERNA E CONTEMPORÂNEA,2016,10.18285/geonomos.v24i2.852,Português,GEONOMOS,XX,2446-6964,"['Yacy Ara Froner Gonçalves', 'Luiz Antonio Cruz Souza']","['1', '2']",['2'],-99
3rd Portuguese-Brazilian Conference on Conservation and Restoration ? thinking Conservation in its multiple aspects,2016,10.14568/cp23fm2,Português,CONSERVAR PATRIMÓNIO,A3,1646-043X,"['CANDEIAS, ANTÓNIO', 'BORDALO, RUI', 'Luiz Antonio Cruz Souza', 'Yacy Ara Froner Gonçalves']","['1', '2', '3', '4']",['3'],-99
Caracterização e redução eletrolítica de produtos de corrosão em acos arqueológicos da Antártica,2014,,Português,Patrimonium,XX,2358-0879,"[""João Cura D'ars de Figueiredo Junior"", 'Glaucia Marques', 'Juliana Alves dos Santos', 'Luiz Antonio Cruz Souza', 'Yacy Ara Froner Gonçalves', 'Andres Zarankin']","['1', '2', '3', '4', '5', '6']",['4'],-99
Obras de arte podem ser feitas de algo que não seja ?de arte?? O contexto cultural dos anos 1950 e os debates sobre a experimentação técnica e material,2020,,Português,ART RESEARCH JOURNAL,A3,2357-9978,"['Yacy Ara Froner Gonçalves', 'Maria Alice Sanna Castello Branco', 'Luiz Antonio Cruz Souza']","['1', '2', '3']",['3'],-99
"Mudanças climáticas, riscos ao patrimônio cultural e ambiental, políticas públicas e o papel das redes colaborativas: um olhar sobre o panorama brasileiro contemporâneo",2021,,Português,PATRIMÔNIO E MEMÓRIA (UNESP),A3,1808-1967,"['Yacy-Ara Froner', 'WILLI DE BARROS GONÇALVES', 'Luiz Antonio Cruz Souza', 'Alessandra Rosado']","['1', '2', '3', '4']",['3'],-99
Conforto Ambiental para Pessoas e Coleções: Estudo de Caso,2002,,Português,Cadernos de Arquitetura e Urbanismo (PUCMG),B1,1413-2095,"['Wivian Patricia Pinto Diniz', 'Luiz Antonio Cruz Souza']","['1', '2']",['2'],-99
