TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
George Tabori: Como se pode repetir o que é único? ISBN: 9788570782618,2011,Português,EDUFU,['Mara Lucia Leal'],['1'],['1']
Memória e autobiografia na composição da cena. ISBN: 9788587776082,2012,Português,ABRACE,['Mara Lucia Leal'],['1'],['1']
Inter-Relações de Intervenções Artísticas no Ambiente Escolar em Consonância com a lei 10.639/03. ISBN: 9788562212093,2012,Português,Editora Gráfica Lops,"['Juliana Cristina da Silveira', 'Mara Lucia Leal']","['1', '2']",['2']
Pedagogia da Performance: uma experiência. ISBN: 9788530809904,2013,Português,Papirus,['Mara Lucia Leal'],['1'],['1']
Para além do teatro: a pedagogia da performance. ISBN: 9788566068047,2012,Português,Artecor Gráfica e Editora,"['Mara Lucia Leal', 'Narciso Telles']","['1', '2']",['1']
Máquina da Memória.,2013,Português,Annablume; Unirio; Capes,['Mara Lucia Leal'],['1'],['1']
Desmontagens - o partilhamento escancarado de performances solo,2015,Português,ABRACE [Gráfica e Ed. O Lutador],"['Mara Lucia Leal', 'Nara Waldemar Keiserman', 'Jacyan Castilho de Oliveira']","['1', '2', '3']",['1']
La memoria y lo real en la escena contemporánea,2018,Espanhol,Karpa,"['Mara Lucia Leal', 'Narciso Telles']","['1', '2']",['1']
George Tabori: Experimentações Beckettianas,2017,Português,Paco Editorial,['Mara Lucia Leal'],['1'],['1']
O desvelar da pesquisa em artes: a desmontagem como procedimento artístico-pedagógico,2018,Português,7 Letras,['Mara Lucia Leal'],['1'],['1']
A memória e o real na cena contemporânea,2018,Português,Gramma,"['Mara Lucia Leal', 'Narciso Telles']","['1', '2']",['1']
Baba Antropofágica: ritual e experiência do corpo coletivo. ISBN: 9788575165881,2012,Português,Alínea,"['Dirce Helena Benevides', 'Mara Lucia Leal']","['1', '2']",['2']
