INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Universidade Vale do Rio Verde,2002,12,12,12,Fisioterapia,GRADUACAO,"['Fisiologia do Exercício I', 'Fisiologia do Exercício II']"
Universidade Vale do Sapucaí,2002,7,7,7,Educação Física,GRADUACAO,"['Fisiologia do Exercício 1 e 2', 'Tópicos Especiais 5 - Nutrição Esportiva', 'Fisiologia aplicada a atividade física', 'Monografia 1 e 2']"
Universidade Vale do Rio Verde,2002,12,12,12,Educação Física,GRADUACAO,"['Fisiologia Geral e do Exercício I', 'Treinamento Esportivo 1']"
Fundação Comunitária Educacional Formiguense,2002,1,1,1,Educação Física,GRADUACAO,"['Fisiologia do Exercício', 'Nutrição Esportiva', 'Ética']"
Universidade José do Rosário Vellano,2002,1,1,1,Fisioterapia,GRADUACAO,['Fisiologia do Exercício']
Instituto Gammon Escola de I II e III Graus,2003,7,7,7,Licenciatura Plena em Educação Física,GRADUACAO,"['Fisiologia Geral', 'Informática aplicada a atividade física']"
Universidade Vale do Sapucaí,2004,7,7,7,Fisioterapia,GRADUACAO,['Fisiologia do Exercício']
Fundação Comunitária Educacional Formiguense,2004,7,7,7,Treinamento Esport e Pers Training,ESPECIALIZACAO,['Fisiologia do Exercício e Nutrição Aplicada']
Universidade Vale do Rio Verde,2005,3,3,3,Fisiologia e Nutrição Esportiva,ESPECIALIZACAO,"['Fisiologia do Exercício', 'Fisiologia aplicada a populações especiais']"
Universidade Federal de São João Del Rey,2005,7,7,7,Educação Física,GRADUACAO,"['Bases Fisiológicas da Atividade Física', 'Desenvolvimento e Comportamento Motor', 'Fisiologia Humana']"
Universidade Federal de São João Del Rey,2006,12,12,12,Educação Física,GRADUACAO,"['Aprendizagem e Desenvolvimento Motot', 'Educação para Saúde Socorros de Urgência', 'Medidas e Avaliação em Educação Física', 'Treinamento Esportivo']"
Universidade Presidente Antônio Carlos,2006,7,7,7,Licenciatura em Educação Física,GRADUACAO,['Fisiologia do Exercício']
Universidade Federal de São João Del Rey,2007,12,12,12,Educação Física,GRADUACAO,"['Fisiologia do Exercício I', 'Fisiologia do Exercício II', 'Medidas e Avaliação em Educação Física', 'Seminários em Termorregulação', 'Treinamento Esportivo']"
Universidade Federal de São João Del Rey,2008,12,12,12,Educação Física,GRADUACAO,"['Aprendizagem e Desenvolvimento Motor', 'Bases Fisiológicas Aplicadas à Atividade Física II', 'Medidas e Avaliação em Educação Física', 'Seminários Pesquisa, Monografia em Educação Física II']"
Universidade Federal de São João Del Rey,2008,07,07,07,Educação Física,GRADUACAO,['Seminários em Monografia e Pesquisa em Educação Física I e II']
Universidade Federal de São João Del Rey,2014,07,07,07,Educação Física,GRADUACAO,"['Fisiologia do Exercício I', 'Fisiologia do Exercício II', 'Medidas e Avaliação', 'Nutrição Esportiva']"
Universidade Federal de São João Del Rey,2016,,ATUAL,ATUAL,Educação Física,GRADUACAO,"['Epidemiologia e atividade física', 'Fisiologia do Exercício (1)', 'Fisiologia do Exercício 2', 'Medidas e Avaliação', 'Distúrbios Alimentares e Nutrição Esportiva']"
Universidade Federal de São João Del Rey,2022,,ATUAL,ATUAL,Programa de Pós-Graduação em Música,POS-GRADUACAO,"['Capacidades físicas, movimento humano, saúde e música']"
