TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Meninos e meninas na aula de música: Um estudo sobre gênero no Ensino Fundamental.,1999,,Português,Revista da ABEM,A2,1518-2630,['Helena Lopes da Silva'],['1'],['1'],-99
Identidades de gênero construídas através da música: Um estudo de caso realizado com adolescentes no espaço escolar.,2000,,Português,Fazendo Gênero,XX,-,['Helena Lopes da Silva'],['1'],['1'],-99
Música no espaço escolar e a construção da identidade de gênero: Um estudo de caso.,2002,,Português,Opus (Belo Horizonte. Online),XX,1517-7017,['Helena Lopes da Silva'],['1'],['1'],-99
Declarando preferências musicais no espaço escolar: Reflexões acerca da construção da identidade de gênero na aula de música.,2004,,Português,Revista da ABEM,A2,1518-2630,['Helena Lopes da Silva'],['1'],['1'],-99
Identidades de Gênero e a Música da Mídia: Um estudo realizado em um a 8ª série do Ensino Fundamental.,2004,,Português,Simpósio Internacional Sobre a Juventude Brasileira,XX,-,['Helena Lopes da Silva'],['1'],['1'],-99
Música no espaço escolar e a construção da identidade de gênero: Um estudo de caso.,2004,,Português,Seminário Brasileiro de Estudos Culturais Em Educação,XX,-,['Helena Lopes da Silva'],['1'],['1'],-99
"Gênero, adolescência e música: Um estudo de caso no espaço escolar.",2006,,Português,Em Pauta (UFRGS. Impresso),XX,0103-7420,['Helena Lopes da Silva'],['1'],['1'],-99
Carmina Burana em sala de aula.,1994,,Português,Cadernos do Aplicação (UFRGS),B2,0103-6041,['Helena Lopes da Silva'],['1'],['1'],-99
"Sentidos de uma Pedagogia Musical no Se&amp;#769;culo XXI: As Oficinas de Mu&amp;#769;sica da Escola Aberta Chape&amp;#769;u do Sol, Porto Alegre, RS",2011,,Português,Música Hodie,A1,1676-3939,['Helena Lopes da Silva'],['1'],['1'],-99
Música e Juventude no Programa Escola Aberta: Quais músicas? Qual pedagogia?,2012,,Português,Revista Científica/FAP (Curitiba. Impresso),B3,1679-4915,['Helena Lopes da Silva'],['1'],['1'],-99
MEDIANDO AS ESCUTAS MUSICAIS DOS JOVENS: UMA PROPOSTA PARA A EDUCAÇÃO MUSICAL NA ESCOLA REGULAR,2014,,Português,Reflexão e Ação (Online),A4,1982-9949,['Helena Lopes da Silva'],['1'],['1'],-99
O ensino de música no Ensino Médio: Reflexões a partir do Projeto PIBID Música UEMG.,2014,,Português,Revista NUPEART,B1,1677-1605,['Helena Lopes da Silva'],['1'],['1'],-99
Escuta (cria)tiva: Propostas para o desenvolvimento da escuta musical na educação básica,2017,10.14516/fde.554,Português,Foro de Educación,A3,1698-7802,"['Helena Lopes da Silva', 'VASCONCELOS BARBOSA, ROGÉRIO']","['1', '2']",['1'],-99
ESCUTAR PARA CRIAR E/OU CRIAR PARA ESCUTAR: PROVOCAÇÕES PARA A AULA DE MÚSICA DOS ANOS FINAIS DO ENSINO FUNDAMENTAL,2021,,Português,ORFEU,A1,2525-5304,['Helena Lopes da Silva'],['1'],['1'],-99
Sentidos de uma pedagogia musical na Escola Aberta: As lógicas da cultura escolar,2013,,Português,Intermeio (UFMS),B2,1413-0963,['Helena Lopes da Silva'],['1'],['1'],-99
