TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
"La Magie du cerveau. (A Magia do cérebro, artigo que trata da dramaturgia trandisciplinar no processo de criaçao de La Maison de Cerfs de Jan Lauwers e Needcompany)",2008,,Francês,Registres,XX,1274-2414,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
O Desempenho da escuridao: o valor dramaturgico do black-out em Cercles/ Fictions de Joël Pommerat,2015,,Português,Sala Preta,A3,2238-3867,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Entrevista com Marcelo Lipiani e com a participaçao de Christiane Jatahy,2015,,Português,Sala Preta,A3,2238-3867,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Effets de phasmes sur la scène contemporaine: esquisse d'une esthétique de la dissemblance.  (Efeitos 'bicho-pau' na cena contemporânea: esboço de uma estética da dessemelhança) de uma estét,2016,,Francês,Degre: revue de synthèse à l'orientation sémiologique,XX,0376-8163,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Lançar,2016,,Português,Revista Sala Preta,A3,2238-3867,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Presenças Impessoais: tons de humano na cena-paisagem,2017,10.1590/2237-266069866,Português,REVISTA BRASILEIRA DE ESTUDOS DA PRESENÇA [EPERIODICO],A1,2237-2660,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
"Dramaturgia do esgotamento: estudo genético d'A Ultima palavra é penulitima 2.0, Teatro da Vertigem",2017,,Português,Sinais de Cena,A4,1646-0715,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Quando a fala dá o que falar,2018,,Português,cartografias.MITsp -  Revista de Artes Cênicas,NP,2357-7487,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
O ouvinte visionário: a hipótese de um teatro hipnótico,2017,10.11606/issn.2238-3867.v17i1p131-146,Português,SALA PRETA (USP),XX,1519-5279,"['Maria Clara Guimaraes Ferrer Carrilho', 'MOTA, Juliana.']","['1', '2']",['1'],-99
Caminhos da escuta: presença sonora e escurid&amp;#257;o,2018,,Português,Ephemera (Online),A1,1473-2866,"['Maria Clara Guimaraes Ferrer Carrilho', 'MOTA, Juliana.']","['1', '2']",['1'],-99
A vocaç&amp;#257;o dramatúrgica da traduç&amp;#257;o teatral:traduzindo 'J'étais dans ma maison et j'attendais que la pluie vienne' de Jean Luc Lagarce,2019,,Português,Urdimento revista de estudo em artes cenicas,A1,2358-6958,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Genética de uma obra teatra: traços e gestos da escrita cênica de Marcio Abreu,2016,10.11606/issn.2238-3867.v16i2,Português,Revista Sala Preta Eletrônica,A3,2238-3867,"['Maria Clara Guimaraes Ferrer Carrilho', 'Priscila Natany']","['1', '2']",['1'],-99
Conversa aberta: texto e musicalidade,2016,10.11606/issn.2238-3867.v16i2p369-387,Português,Revista Sala Preta Eletrônica,A3,2238-3867,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Olhar  para  aquilo  que  não  se  vê.  Ensaio  sobre  uma  poética  das distâncias  nas  práticas cênicas de Lia Rodrigues e Antônio Araújo,2020,,Português,Urdimento (UDESC),A1,1414-5731,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Mettre en scène à l'épreuve du noir: autour de processus de créayionde Motriz,2020,,Francês,Percées,XX,2563-660X,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
"Nous autres, les Barbares. Actes d'écoute et gestes de traductions de la Cia. Brasileire de Teatro",2021,,Francês,Alternatives Théâtrales,XX,9782-8742,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Le Théâtre brésilien est une femme brésilienne,2021,,Francês,Alternatives Théâtrales,XX,9782-8742,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
Souvenirs d'un acteur-créateur dans les théâtre de groupe au Brésil,2021,,Francês,Alternatives Théâtrales,XX,9782-8742,['Maria Clara Guimaraes Ferrer Carrilho'],['1'],['1'],-99
