TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
"FORmaçãO, ExPERIênCIa E CRIaçãO: CuRsO EduCaçãO InFantIl, InFânCIas E  Arte",2014,Português,UFMG/FaE,"['Ricardo Carvalho de Figueiredo', 'Ana Cristina Carvalho Pereira']","['1', '2']",['1']
A criança como protagonista da aprendizagem teatral: uma experiência de criação na escola de Educação Infantil,2014,Português,OEI,['Ricardo Carvalho de Figueiredo'],['1'],['1']
PRINCÍPIOS DO ENSINO DE TEATRO PARA O ADULTO PROFESSOR DE CRIANÇA,2015,Português,FaE/UFMG,['Ricardo Carvalho de Figueiredo'],['1'],['1']
"ENSINO DE ARTE, FORMAÇÃO DE PROFESSORES, EDUCAÇÃO INFANTIL E SEUS DESAFIOS: CURSO DE APERFEIÇOAMENTO EDUCAÇÃO INFANTIL, INFÂNCIAS E ARTE",2015,Português,FaE/UFMG,"['Ricardo Carvalho de Figueiredo', 'Ana Cristina Carvalho Pereira']","['1', '2']",['1']
EXPERIMENTOS TEATRAIS NA EDUCAÇÃO INFANTIL:  (RE)PENSANDO A FORMAÇÃO INICIAL DO PROFESSOR,2015,Português,Papirus,['Ricardo Carvalho de Figueiredo'],['1'],['1']
PROFESSOR-PERSONAGEM NA SALA DE AULA: REVERBERAÇÕES NO TRABALHO DO PROFESSOR ARTISTA,2015,Português,IFCE,['Ricardo Carvalho de Figueiredo'],['1'],['1']
Deixem pegadas! A construção de narrativas poéticas no processo de formação continuada de professoras da Educação Infantil,2015,Português,UFMG,['Ricardo Carvalho de Figueiredo'],['1'],['1']
Teatralidades: crianças da Educação Infantil no tempo do brincar,2018,Português,Fino Traço,"['Larissa Altemar', 'Maria Cristina Soares de Gouvêa', 'Ricardo Carvalho de Figueiredo']","['1', '2', '3']",['3']
"Professor-Artista: formar o artista, formar o humano",2021,Português,Editora Unimontes,['Ricardo Carvalho de Figueiredo'],['1'],['1']
Experimentos teatrais na educação infantil: (re)pensando a formação inicial do professor,2013,Português,Papirus,['Ricardo Carvalho de Figueiredo'],['1'],['1']
