COURSE,YEAR,INTEGRANTES
41º Festival de Inverno da UFMG - Oficina de Música Eletroacustica,2009,['João Pedro Paiva de Oliveira']
Composição e Electroacustica,2008,['João Pedro Paiva de Oliveira']
Computer Music Composition,2002,['João Pedro Paiva de Oliveira']
Computer Music Composition,2007,['João Pedro Paiva de Oliveira']
Composition,2004,['João Pedro Paiva de Oliveira']
Analysis of Computer Music,2009,['João Pedro Paiva de Oliveira']
Curso de Música eletroacustica,2009,['João Pedro Paiva de Oliveira']
Curso de Análise,2009,['João Pedro Paiva de Oliveira']
Curso de Composicion y Musica Eletroacustica,2006,['João Pedro Paiva de Oliveira']
Analisis y composicion electroacustica,2006,['João Pedro Paiva de Oliveira']
Electronic Music Composition,2003,['João Pedro Paiva de Oliveira']
Composition Course,1998,['João Pedro Paiva de Oliveira']
Musique electroacoustique,2001,['João Pedro Paiva de Oliveira']
Composition Course,2002,['João Pedro Paiva de Oliveira']
"Gesto, momento e forma em composição",2012,['João Pedro Paiva de Oliveira']
Composição Musical,2012,['João Pedro Paiva de Oliveira']
Composição musical usando meios eletroacústicos,2014,['João Pedro Paiva de Oliveira']
Tecnologia e Composição,2002,['João Pedro Paiva de Oliveira']
