TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
Histórias debaixo dos panos: descobrindo a linguagem da moda - as mulheres das elites e classes médias paulistanas (1913-1029),2002,,Português,Projeto História (PUCSP),A3,0102-4442,['Maria Claudia Bonadio'],['1'],['1'],-99
Consciência Ecológica,1991,,Português,Revista de Estudos Universitárias (Sorocaba),B2,0102-6437,['Maria Claudia Bonadio'],['1'],['1'],-99
Por que ler ... Roland Barthes?,2008,10.26563/dobras.v2i2.368,Português,REVISTA D'OBRAS (ONLINE),A2,2358-0003,['Maria Claudia Bonadio'],['1'],['1'],-99
Interpretando Alceu Penna: O Projeto Figurino,2008,,Português,"Iara: Revista de Moda, Cultura e Arte",B2,1983-7836,"['Maria Claudia Bonadio', 'Daniela Nunes Figueira', 'Gabriela Ordones Penna']","['1', '2', '3']",['1'],-99
"A ?revolução no vestuário?: publicidade de moda, nacionalismo e crescimento industrial no Brasil dos anos 1960",2009,,Português,Mosaico (Goiânia),A3,1983-7801,['Maria Claudia Bonadio'],['1'],['1'],-99
As modelos negras na publicidade de moda no Brasil dos anos 1960,2012,10.5216/vis.v7i2.18190,Português,Visualidades (UFG),A3,2317-6784,['Maria Claudia Bonadio'],['1'],['1'],-99
Alceu Penna e a construção de um estilo brasileiro: modas e figurinos,2010,10.1590/S0104-71832010000100009,Português,Horizontes Antropológicos (Online),XX,1806-9983,"['Maria Claudia Bonadio', 'Maria Eduarda Araújo Guimarães']","['1', '2']",['1'],-99
A produção acadêmica sobre moda na pós-graduação stricto sensu no Brasil,2010,,Português,"Iara: Revista de Moda, Cultura e Arte",B2,1983-7836,['Maria Claudia Bonadio'],['1'],['1'],-99
"All star, moda, mídia e consumo",2010,,Português,Revista Iniciação,B1,2179-474X,"['Beatriz Gomes Ribeiro', 'Maria Claudia Bonadio']","['1', '2']",['2'],-99
Alceu Penna and the elaboration of a Brazilian style: fashion and costumes,2010,,Inglês,Horizontes Antropológicos (UFRGS. Impresso),A1,0104-7183,"['Maria Claudia Bonadio', 'Maria Eduarda Araújo Guimarães']","['1', '2']",['1'],-99
Alceu Penna e as representações gráficas do casamento e da juventude na revista A Cigarra (1947-1955)&lt;/b&gt; - doi: 10.4025/dialogos.v17i2.726,2013,10.4025/dialogos.v17i2.726,Português,Dialogos (Maringa),XX,2177-2940,"['Maria Claudia Bonadio', 'Boaventura, Thaís Fernandes']","['1', '2']",['1'],-99
Brazilian fashion and the `exotic?,2014,10.1386/infs.1.1.57_1,Inglês,INTERNATIONAL JOURNAL OF FASHION STUDIES,A2,2051-7106,['Maria Claudia Bonadio'],['1'],['1'],-99
