COURSE,YEAR,INTEGRANTES
Seminário de violão (masterclasse),2007,['Flavio Terrigno Barbeitas']
Oficina de interpretação violonística,2007,['Flavio Terrigno Barbeitas']
Masterclass de Violão,2011,"['Flavio Terrigno Barbeitas', 'Fernando Araújo de Paula']"
Masterclass de violão - I Seminário de Música Brasileira,1998,['Flavio Terrigno Barbeitas']
Masterclass de violão,2014,['Flavio Terrigno Barbeitas']
Musica contemporânea e Etnomusicologia,2014,"['Roberto Victorio', 'Flavio Terrigno Barbeitas']"
Barrocos e Pós-barrocos na música luso-brasileira do Antigo Regime,2014,"['Rui Vieira Nery', 'Flavio Terrigno Barbeitas']"
"Cultura, Arte e Música em cenário de transição de paradigmas",2015,['Flavio Terrigno Barbeitas']
Plataforma Lattes - Oficina de atualização e preenchimento,2016,['Flavio Terrigno Barbeitas']
Masterclass de violão,2017,['Flavio Terrigno Barbeitas']
Masterclass de violão,2017,['Flavio Terrigno Barbeitas']
Seminário de violão (Masterclasse),2001,['Flavio Terrigno Barbeitas']
