COURSE,YEAR,INTEGRANTES
Projetos Educativos,2003,['Cairo Mohamad Ibrahim Katrib']
"CAMINHOS PLURAIS: Reflexões sobre História, Cultura e Etnia no contexto escolar",2007,['Cairo Mohamad Ibrahim Katrib']
PEDAGOGIA DE PROJETOS - CULTURA POPULAR,2007,['Cairo Mohamad Ibrahim Katrib']
CONGADA: REFAZENDO CAMINHOS,2007,['Cairo Mohamad Ibrahim Katrib']
Projetos Educativos,2003,['Cairo Mohamad Ibrahim Katrib']
Religiosidade e Identidade: África e Brasil na formação da cultura Afro-brasileira,2008,"['Cairo Mohamad Ibrahim Katrib', 'Aurelino José Ferreira Filho']"
Tecnologia e Educação: o uso da TV e do vídeo como recurso transdisciplinar,2003,['Cairo Mohamad Ibrahim Katrib']
Formação A Cor da Cultura,2010,['Cairo Mohamad Ibrahim Katrib']
Noções Básicas de Informática,2003,['Cairo Mohamad Ibrahim Katrib']
Caminhos e possibilidades para a implementação da Lei 10639/03,2011,['Cairo Mohamad Ibrahim Katrib']
Formação docente: Educação das relações etnico-raciais,2015,['Cairo Mohamad Ibrahim Katrib']
Curso de Educação das relações raciais para técnicos administrativos,2015,['Cairo Mohamad Ibrahim Katrib']
A Lei 10.639 na educação,2015,"['Cairo Mohamad Ibrahim Katrib', 'Vânia Aparecida Bernardes']"
Formação continuada em Diversidade Afro-Brasileira e Direitos Humanos- etapa 1,2018,['Cairo Mohamad Ibrahim Katrib']
Formação continuada em Diversidade Afro-Brasileira e Direitos Humanos-etapa 2,2019,['Cairo Mohamad Ibrahim Katrib']
Apresentando Cecampe Sudeste,2021,['Cairo Mohamad Ibrahim Katrib']
Trilhas no PDDE,2021,['Cairo Mohamad Ibrahim Katrib']
Os recursos tecnológicos com recurso didático-metodologico,2005,"['Cairo Mohamad Ibrahim Katrib', 'Selma Martines Perez']"
Capacitação Cor da Cultura,2011,['Cairo Mohamad Ibrahim Katrib']
