PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Projeto de IC- Ação Cultural para a Cidadania: o jogo teatral e a modificação das regras,1996,1997,PESQUISA,"['Jose Eduardo De Paula', 'Maria Lúcia Pupo']","['NAO', 'SIM']"
"Projeto de IC- O Desenho Animado na TV: Mitos, Símbolos e Metáforas",1997,1998,PESQUISA,"['Jose Eduardo De Paula', 'Elza Dias Pacheco']","['NAO', 'SIM']"
Centro de Pesquisa em Experimentação Cênica do Ator,2008,2015,PESQUISA,"['Jose Eduardo De Paula', 'Armando Sergio da Silva']","['NAO', 'SIM']"
Inter-Câmbios: América Latina,2014,2015,EXTENSAO,"['Jose Eduardo De Paula', 'Eduardo Tessari Coutinho', 'Tatiana Melitello Washiya']","['NAO', 'SIM', 'NAO']"
O ator no olho do furacão : metáforas norteadoras para o trabalho criativo do ator,2009,2011,PESQUISA,['Jose Eduardo De Paula'],['SIM']
Inter-Câmbios: Dramaturgia do Ator,2012,2013,EXTENSAO,"['Jose Eduardo De Paula', 'Armando Sergio da Silva', 'Eduardo Tessari Coutinho', 'Rejane Kastin Arruda', 'Marcelo Braga', 'Patricia Noronha']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
Cartografia Visual: 1ª paisagem,2013,2014,PESQUISA,"['Jose Eduardo De Paula', 'Guilherme Rodrigues Pereira', 'Lívia Maria Chumbinho Costa e Silva', 'Camila Amuy']","['SIM', 'NAO', 'NAO', 'NAO']"
Jogo e Memória: Essências - Cena Contemporânea e o Jogo do Círculo Neutro como anteparos para os processos de preparação e criação do ator,2013,2018,PESQUISA,"['Jose Eduardo De Paula', 'Mara Lucia Leal', 'Ana Flávia Felice', 'Leandro Sousa Alves', 'Juliana Marques', 'Gustavo Bacci']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Jogo e Memória: Essências - o Círculo Neutro como base para os processos de preparação e criação do ator: o entorno do Teatro de Feira e da Performance Arte como campos colaboradores para a pedagogia do ator,2014,2020,PESQUISA,"['Jose Eduardo De Paula', 'Leandro Sousa Alves', 'Juliana Marques', 'Gustavo Bacci']","['SIM', 'NAO', 'NAO', 'NAO']"
"ENTRE TRADIÇÕES E CONTEMPORANEIDADES:  pedagogias da cena, tecnologias da informação e comunicação (TIC?s) e o Ator do Século XXI",2021,ATUAL,PESQUISA,['Jose Eduardo De Paula'],['SIM']
GEAC - Grupo de Estudos e Investigação sobre Processos de Criação e Formação em Artes Cênicas - CNPq,2013,ATUAL,PESQUISA,"['Jose Eduardo De Paula', 'Mara Lucia Leal', 'Fernando Manoel ALeixo', 'Narciso Telles', 'Dirce Helena Benevides de Carvalho', 'Mario Ferreira Piragibe', 'Paulina Maria Caon', 'Vilma Campos dos Santos Leite', 'Ana Elvira Wuo', 'Wellington Menegaz de Paula', 'Daniele Pimenta']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Direção de ator - Thierry Salmon e o jogo como perspectiva no processo de criação,2018,2019,PESQUISA,"['Jose Eduardo De Paula', 'Marco De Marinis', 'Renata M. Molinari', 'Maria Grazia Mandruzzato']","['SIM', 'NAO', 'NAO', 'NAO']"
