PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Loucura e Cultura: cartografias na extensão de uma clínica poética,2006,2008,PESQUISA,"['Juliana Soares Bom-Tempo', 'Maria Lúcia Castilho Romero']","['SIM', 'NAO']"
Imagens em Performance: intervenções urbanas e a mobilização dos signos,2016,2018,PESQUISA,"['Juliana Soares Bom-Tempo', 'Humberto Aparecido de Oliveira Guido', 'Vivian Marina Redi Pontim', 'Marcia Franco']","['SIM', 'NAO', 'NAO', 'NAO']"
"Fragmentos Imaginários: intervenções urbanas, imagem, dança e performance",2016,2016,EXTENSAO,"['Juliana Soares Bom-Tempo', 'Carla Fernanda Silvino', 'Luiz Henrique Martins de Oliveira', 'Rosana Artiaga Cunha Bruni', 'Saulo Humberto Devós Ferreira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Análise Bioenergética: grupo de movimento,2017,2017,EXTENSAO,['Juliana Soares Bom-Tempo'],['SIM']
Por uma Clínica-Poética: o que podem os corpos quando não se tem amanhã?,2020,ATUAL,PESQUISA,"['Juliana Soares Bom-Tempo', 'Caio César Souza Camargo Próchno', 'José Carlos Pereira Santos']","['SIM', 'NAO', 'NAO']"
Festiva de Artes - Fiz Artes e Agora?,2017,2017,EXTENSAO,"['Juliana Soares Bom-Tempo', 'Alexandre José Molina']","['NAO', 'SIM']"
Por uma Clínica Poética: experimentações em risco nas imagens em performance,2011,2015,PESQUISA,"['Juliana Soares Bom-Tempo', 'Antônio Carlos Rodrigues de Amorim']","['SIM', 'NAO']"
Veraneio Asfáltico - experimentações performáticas,2018,2018,EXTENSAO,"['Juliana Soares Bom-Tempo', 'Artur R F Ayroso', 'Aline Pinheiro Salmin', 'Carla Fernanda Silvino', 'Raphael Faria', 'Juscelino Ferreira Mendes Júnior', 'Carla Vilela', 'Lara Dau Vieira', 'Tauana Barbosa', 'Kassio Pires', 'Claudia Millás', 'Carol Vaz']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Mostra- Feminismos em Performance,2018,2018,EXTENSAO,"['Juliana Soares Bom-Tempo', 'Aline Pinheiro Salmin', 'Raphael Faria', 'Isabela Palhares', 'Vanessa Garcia']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Por uma Clínica-Poética,2018,ATUAL,EXTENSAO,"['Juliana Soares Bom-Tempo', 'Juscelino Ferreira Mendes Júnior', 'Carla Vilela', 'GIL MARQUEZ DE ANDRADE NETO', 'GIOVANNA PAULA MENEZES', 'ISABELA GIORGIANO']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
