PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Roteiro Histórico Turístico das Esculturas em Belo Horizonte,2002,2003,PESQUISA,['Rita Lages Rodrigues'],['SIM']
"O mercado de artes plásticas em Belo Horizonte: análise histórica, inserção nos mercados internacional e nacional e aplicações em roteiros turísticos.",2006,2007,PESQUISA,['Rita Lages Rodrigues'],['SIM']
As obras de Luís Olivieri em Belo Horizonte: refuncionalização do espaço arquitetônico,2007,2008,PESQUISA,['Rita Lages Rodrigues'],['SIM']
Patrimônio arquitetônico e turismo na cidade de Belo Horizonte: o caso do ecletismo.,2008,2009,PESQUISA,['Rita Lages Rodrigues'],['SIM']
"O Museu Histórico Abílio Barreto, suas exposições, seu acervo, o imaginário sobre Belo Horizonte e a relação com o turismo.",2009,2010,PESQUISA,['Rita Lages Rodrigues'],['SIM']
A Grande Bh também dá samba: Manifestações de cultura popular na Comunidade de Nossa Senhora do Rosário em Justinópolis,2006,2006,EXTENSAO,"['Rita Lages Rodrigues', 'Clarita Ribeiro Gonzaga', 'Marcelo Lages Murta']","['SIM', 'NAO', 'NAO']"
Patrimônio e consumo em Belo Horizonte: análise de propagandas e vendas de imóveis das décadas de 1980 a 2000.,2010,2011,PESQUISA,['Rita Lages Rodrigues'],['SIM']
Manutenção do CEPETURH,2007,2008,EXTENSAO,['Rita Lages Rodrigues'],['SIM']
Architecto Moderno na Cidade: traços e rastros de Luiz Olivieri em Belo Horizonte,2008,2012,PESQUISA,['Rita Lages Rodrigues'],['SIM']
"Do sonho à história, da esquina ao museu",2011,2013,PESQUISA,"['Rita Lages Rodrigues', 'Luiz Henrique Assis Garcia']","['NAO', 'SIM']"
Arena da Cultura,2012,2013,EXTENSAO,"['Rita Lages Rodrigues', 'Luiz Antônio Cruz Souza', 'Yacy Ara Froner Gonçalves']","['NAO', 'SIM', 'NAO']"
Transposição do mural Da descoberta do Brasil ao ciclo mineiro do café,2012,2012,EXTENSAO,"['Rita Lages Rodrigues', 'Alessandra Rosado', 'Luiz Antônio Cruz Souza']","['NAO', 'NAO', 'SIM']"
"Os usos do patrimônio: reflexões sobre a utilização das edificações Secretaria da Fazenda e Secretaria de Estado da Educação, situadas à Praça da Liberdade, como símbolos políticos e estéticos na cidade de Belo Horizonte.",2013,2014,PESQUISA,['Rita Lages Rodrigues'],['SIM']
"Temporalidades do patrimônio na cidade: apropriações da Praça da Liberdade, Praça da Estação e Rua da Bahia, em Belo Horizonte",2013,2016,PESQUISA,"['Rita Lages Rodrigues', 'Luiz Henrique Assis Garcia', 'Regina Helena Alves da Silva', 'Tito Flávio Rodrigues de Aguiar', 'João Marcos Veiga de Oliveira', 'Denis Pereira Tavares']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Re-encontrar o público nas Praças da cidade: novas formas de apropriação no espaço urbano em transformação na Belo Horizonte do século XXI,2013,2016,PESQUISA,"['Rita Lages Rodrigues', 'Luiz Henrique Assis Garcia', 'Regina Helena Alves da Silva', 'Cláudia Graça da Fonseca', 'Pedro Silva Marra', 'Juliana Lopes Dias']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
As mulheres artistas na História da Arte no Brasil,2017,ATUAL,PESQUISA,"['Rita Lages Rodrigues', 'Maria Tereza Dantas Moura', 'Raylander Mártis dos Anjos', 'Bruna Emanuele Fernandes', 'Bárbara Lissa Alves de Campos']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Laboratório de Curadoria de Exposições Bisi Silva: ação permanente,2020,ATUAL,EXTENSAO,"['Rita Lages Rodrigues', 'Carolina Ruoso']","['NAO', 'SIM']"
Engaja - concepção e implementação de projetos de engajamento de público e acervo,2016,ATUAL,EXTENSAO,"['Rita Lages Rodrigues', 'Luiz Henrique Assis Garcia', 'Carolina Ruoso']","['NAO', 'SIM', 'NAO']"
Concrete Art in Brazil,2015,2018,PESQUISA,"['Rita Lages Rodrigues', 'Marília Andrés Ribeiro', 'Alessandra Rosado', 'Luiz Antônio Cruz Souza', 'Yacy Ara Froner Gonçalves', 'Maria Alice Honório Sanna Castello Branco', 'Maria Angélica Melendi', 'Giulia Giovani', 'Carvalho, Humberto Farias de']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Pesquisa para Execução de Exposição Permanente do Miniteatro de Óperas da Funarte-MG,2022,ATUAL,PESQUISA,"['Rita Lages Rodrigues', 'Maria Tereza Dantas Moura', 'Lucas Ferreira de Vasconcellos', 'Cláudia Ferreira Lima Costa', 'Victória Caroline de Souza Brandão', 'João Pedro Otoni Cardoso']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Patrimônio cultural e sustentabilidade - Programa de Mobilidade CAPES-AULP,2015,2019,PESQUISA,"['Rita Lages Rodrigues', 'Luiz Antônio Cruz Souza', 'Yacy Ara Froner Gonçalves', 'Leonardo Castriota', 'Flávio Lemos Carsalade', 'Ana Panisset']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO']"
