INSTITUTION,YEAR_INI,YEAR_FIN,MONTH_INI,MONTH_FIN,COURSE,TYPE,DISC
Escola Medéias de Teatro,2002,08,08,08,,OUTRO,['Teatro']
Colégio Arquidiocesano de Ouro Preto,2004,08,08,08,,ENSINO-FUNDAMENTAL,['Artes/Teatro']
Escola Estadual Padre Afosno de Lemos,2004,08,08,08,,ENSINO-MEDIO,['Artes']
Prefeitura Municipal de Barão de Cocais,2007,10,10,10,,ENSINO-FUNDAMENTAL,['Arte']
Fundação Cultural Carlos Drummond de Andrade,2007,06,06,06,,OUTRO,['Teatro']
Universidade Federal de Ouro Preto,2008,06,06,06,Artes Cênicas,GRADUACAO,"['Estágio Curricular Supervisionado: Regência', 'Teatro no Ensino Profissional e na Educação não-formal', 'Estágio Curricular Supervisionado: Observação', 'Jogos Teatrais I', 'Jogos Teatrais II']"
Escola Sindical 7 de Outubro,2008,06,06,06,Turismo e Hospitalidade,APERFEICOAMENTO,['Arte e Cultura']
Universidade Federal de Minas Gerais,2009,,ATUAL,ATUAL,Teatro,GRADUACAO,"['Análise da Prática e Estágio Supervisionado I (Observação)', 'Ciclo de Conferências sobre Ensino do Teatro', 'Fundamentos da Prática Cultural em Teatro', 'Seminário sobre Teatro e seu Ensino', 'TCC Licenciatura', 'Teorias do Ensino do Teatro', 'Tópicos em Teatro B: Experimentos Teatrais na Educação Infantil']"
Universidade Federal de Minas Gerais,2011,02,02,02,Teatro,GRADUACAO,['Coordenador da área de Teatro no Programa Institucional de Bolsa de Iniciação à Docência (PIBID) CAPES.']
Universidade Federal de Minas Gerais,2016,08,08,08,Mestrado Profissional em Artes - ProfArtes,POS-GRADUACAO,['Pedagogia do Teatro: educação não-formal']
Universidade Federal de Minas Gerais,2017,,ATUAL,ATUAL,Artes,POS-GRADUACAO,"['Abordagens contemporâneas para o Teatro: criação/ensino/aprendizagem', 'Aprendizagem das Artes Cênicas']"
Universidade Federal de Minas Gerais,2018,12,12,12,Formação de Educadores para Educação Básica - LASEB - FaE/UFMG,ESPECIALIZACAO,['MTE715 - EXPRESSÃO ARTÍSTICA NA EDUCAÇÃO INFANTIL']
