COURSE,YEAR,INTEGRANTES
O teatro como Intervenção,2010,['Juliana Soares Bom-Tempo']
Sociodrama Construtivista da AIDS,2010,['Juliana Soares Bom-Tempo']
Capacitação na arte do palhaço: terapêutas do riso,2010,['Juliana Soares Bom-Tempo']
Teatro do Oprimido,2010,['Juliana Soares Bom-Tempo']
Técnicas de Condução de Grupo,2012,['Juliana Soares Bom-Tempo']
Palavra como Objeto: Experimentação do texto-oral na relação com um corpo em performance,2012,['Juliana Soares Bom-Tempo']
"Tum Tá Tá Tum Tum Tá: Corpo, Máquina e Ritmo",2012,"['Angela Vieira', 'Juliana Soares Bom-Tempo']"
Práticas Corporais em Esquizo: o corpo e a micropolítica dos afectos,2012,"['Juliana Soares Bom-Tempo', 'Angela Vieira']"
Teatro do Oprimido: Metodologia e jogos para condução de grupos,2013,['Juliana Soares Bom-Tempo']
Que desejos desejamos incorporar na Psicologia?,2012,"['Juliana Soares Bom-Tempo', 'Angela Vieira']"
Construção de Brinquedos e Construção de Instrumentos Musicais,2006,"['Juliana Soares Bom-Tempo', 'Wesley dos Reis Silva']"
FAJ ABERTA,2011,['Juliana Soares Bom-Tempo']
Arte e loucura na contemporaneidade,2006,['Juliana Soares Bom-Tempo']
Workshop de introdução ao Clown em contextos da saúde e hospitalar,2015,['Juliana Soares Bom-Tempo']
Oficinas Terapêuticas em Saúde Mental,2007,['Juliana Soares Bom-Tempo']
Corpos e afetos: educação somática na construção de uma clínica poética,2012,"['Juliana Soares Bom-Tempo', 'Angela Vieira']"
"Corpo(i)ética: por uma educação somática dos afetos, por uma clínica poética",2013,"['Juliana Soares Bom-Tempo', 'Angela Vieira']"
"Vivências Corporais em Esquizoanálise com o tema  ? Morte e Vida: por uma educação somática, por uma clinica da diferença",2012,"['Juliana Soares Bom-Tempo', 'Angela Vieira']"
Vivência em Educação Somática,2015,['Juliana Soares Bom-Tempo']
Oficina de Teatro aos participantes do Grupo experimental de teatro Amador do ILES/ULBRA,2007,['Juliana Soares Bom-Tempo']
Teatro do Oprimido para Multiplicadores,2007,['Juliana Soares Bom-Tempo']
"Fragmentos Imaginário - Oficina: Improvisação, Ed. Somática e Processos Criativos",2016,['Juliana Soares Bom-Tempo']
Performance,2017,['Juliana Soares Bom-Tempo']
"Oficina, Por uma Clinica Poética",2019,['Juliana Soares Bom-Tempo']
Programação Neurolinguistica - Hipnoterapia Ericksoniana,2009,['Juliana Soares Bom-Tempo']
Oficinas de Teatro do Oprimido - Peça: O Desabafo,2009,['Juliana Soares Bom-Tempo']
Oficina Contato-Improvisação,2008,['Juliana Soares Bom-Tempo']
