PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Site referência sobre jornalismos culturais na rede,2002,2004,PESQUISA,"['Carlos Henrique Rezende Falci', 'Geane Carvalho Alzamora']","['SIM', 'NAO']"
Camadas temporais em cibernarrativas: cruzamentos múltiplos,2007,2007,PESQUISA,['Carlos Henrique Rezende Falci'],['SIM']
Influência dos processos de criação coletiva em obras presentes em redes sócio-técnicas,2005,2006,PESQUISA,['Carlos Henrique Rezende Falci'],['SIM']
Produção colaborativa em mídias locativas: memórias culturais em redes sociotécnicas - de 2011 a 2013,2010,2012,PESQUISA,['Carlos Henrique Rezende Falci'],['SIM']
Produção de memórias culturais audiovisuais com uso de mídias locativas - Bolsa Funarte de Reflexão crítica 2010 - de janeiro a julho de 2011,2010,2010,PESQUISA,['Carlos Henrique Rezende Falci'],['SIM']
Produção colaborativa de conhecimento científico em formatos blog e wiki - investigação e experimentação de linguagem,2009,2011,PESQUISA,"['Carlos Henrique Rezende Falci', 'Geane Carvalho Alzamora']","['NAO', 'SIM']"
Projeto de Pesquisa: Poéticas e políticas da memória em ambientes programáveis: a criação de memórias com uso de metadados,2013,2015,PESQUISA,['Carlos Henrique Rezende Falci'],['SIM']
Projeto de pesquisa e iniciação científica: POÉTICAS E POLÍTICAS DA MEMÓRIA EM AMBIENTES PROGRAMÁVEIS: A CRIAÇÃO DE MEMÓRIAS COM USO DE METADADOS,2013,2014,PESQUISA,['Carlos Henrique Rezende Falci'],['SIM']
Projeto de Pesquisa e Iniciação científica: Lugares imaginários: a criação de memórias sobre espaços urbanos a partir da relação entre cinema de animação e mídias móveis,2014,2016,PESQUISA,['Carlos Henrique Rezende Falci'],['SIM']
Lugares imaginários: a criação de memórias sobre espaços urbanos a partir da relação entre cinema de animação e mídias locativas,2015,2018,PESQUISA,"['Carlos Henrique Rezende Falci', 'Jalver Bethônico', 'Maurício Silva Gino', 'Antônio César Fialho', 'Virgílio Carlo de Menezes Vasconcelos']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Processos colaborativos e imersão: cruzamentos possíveis em obras de arte computacional em redes sócio-técnicas,2009,2011,PESQUISA,['Carlos Henrique Rezende Falci'],['SIM']
Memória e mídias locativas,2010,2011,OUTRA,['Carlos Henrique Rezende Falci'],['SIM']
Seminários de Pesquisa em Artes - produção de material didático,2010,2011,OUTRA,"['Carlos Henrique Rezende Falci', 'Yacy-Ara Froner']","['SIM', 'NAO']"
Projeto República,2011,2011,EXTENSAO,"['Carlos Henrique Rezende Falci', 'Heloísa Starling']","['SIM', 'NAO']"
Readequação do Projeto Pedagógico do Curso de Cinema de Animação e Artes Digitais,2011,2012,OUTRA,['Carlos Henrique Rezende Falci'],['SIM']
Projeto de Doutorado Interinstitucional UFMG/UFPA,2014,2015,OUTRA,['Carlos Henrique Rezende Falci'],['SIM']
Reformulação do Programa de Pós-Graduação em Artes - Escola de Belas Artes,2014,2015,OUTRA,"['Carlos Henrique Rezende Falci', 'Mariana de Lima Muniz']","['SIM', 'NAO']"
Posters Gallery Utopian Constructions,2010,2011,PESQUISA,"['Carlos Henrique Rezende Falci', 'Heitor Capuzzo']","['NAO', 'SIM']"
Lugares Imaginários em Tiradentes: arquivos e narrativas pessoais na criação de lugares imaginários de memória,2018,2018,PESQUISA,"['Carlos Henrique Rezende Falci', 'Cristina Horta', 'Tereza Bruzzi', 'Lila GaudêncIo']","['SIM', 'NAO', 'NAO', 'NAO']"
A terra incógnita no MHNJB,2019,ATUAL,EXTENSAO,"['Carlos Henrique Rezende Falci', 'Mariana de Oliveira Lacerda']","['NAO', 'SIM']"
Paisagem e Memória do MHNJB ? Vila Vilma,2020,ATUAL,EXTENSAO,"['Carlos Henrique Rezende Falci', 'Mariana de Oliveira Lacerda']","['NAO', 'SIM']"
"Paisagem, memória e a construção dos lugares de memória no Museu de História Natural do Jardim Botânico",2021,ATUAL,PESQUISA,"['Carlos Henrique Rezende Falci', 'Mariana de Oliveira Lacerda']","['SIM', 'NAO']"
"Arte, tecnologia e paisagem minerária",2021,ATUAL,PESQUISA,"['Carlos Henrique Rezende Falci', 'André Goes Mintz']","['NAO', 'SIM']"
Poéticas e políticas tecnológicas: aproximações teórico-metodológicas e práticas de ensino entre o campo da Arte e Tecnologia e os Estudos Sociais de Ciência e Tecnologia,2021,ATUAL,PESQUISA,"['Carlos Henrique Rezende Falci', 'André Goes Mintz']","['NAO', 'SIM']"
PROPOSTA DE ESTRUTURAÇÃO DO SISTEMA DE GESTÃO DO ARTESANATO BRASILEIRO:  DIAGNÓSTICO E PLANEJAMENTO ESTRATÉGICO,2021,ATUAL,EXTENSAO,"['Carlos Henrique Rezende Falci', 'Mateus de Moraes Servilha', 'Pedro Augusto Gravatá Nicoli']","['SIM', 'NAO', 'NAO']"
Memory Studies: digital memory and metadata,2015,2015,OUTRA,"['Carlos Henrique Rezende Falci', 'Joanne Garde-Hansen', 'Schwartz, Gilson']","['SIM', 'NAO', 'NAO']"
Liquid Memories - Narratives of water,2015,2016,PESQUISA,"['Carlos Henrique Rezende Falci', 'Joanne Garde-Hansen', 'Danilo Rothberg']","['SIM', 'NAO', 'NAO']"
"Memórias conectivas e  o papel dos rastros digitais na produção poética da memória de espaços urbanos/rios urbanos em São Paulo, Belo Horizonte e Londres",2017,2018,PESQUISA,['Carlos Henrique Rezende Falci'],['SIM']
BRASÍLIA IMAGINADA: a cidade representada por meio dos seus processos simbólicos,2019,ATUAL,PESQUISA,"['Carlos Henrique Rezende Falci', 'Daniela Garrossini']","['NAO', 'SIM']"
