PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
As Imagens de Vestir de pequena e média dimensão,2008,2010,PESQUISA,"['Maria Regina Emery Quites', 'Beatriz Ramos de Vasconcelos Coelho']","['SIM', 'NAO']"
Analise das Tecnicas e Materiais de Esculturas Sacras em Gesso,2010,2011,PESQUISA,"['Maria Regina Emery Quites', 'Elaine Belomo Galetti']","['SIM', 'NAO']"
"Estudo das técnicas, materiais e motivos ornamentais das policromias da imaginária religiosa de Minas Gerais do século XVIII e do início do XIX. Análises comparativas entre a imaginária mineira e a pernambucana do mesmo período..",2009,2011,PESQUISA,"['Maria Regina Emery Quites', 'Beatriz Ramos de Vasconcelos Coelhc']","['SIM', 'NAO']"
Restauração de Replicas da Escola de Arquitetura,2011,2012,EXTENSAO,"['Maria Regina Emery Quites', 'Rosado, Alessandra', 'Magali Melleu Sehn']","['NAO', 'NAO', 'SIM']"
Coordenação do Projeto Restauração de obras do Museu Arquidiocesano de Mariana,2000,2001,EXTENSAO,['Maria Regina Emery Quites'],['SIM']
Curso de Técnicas de Douramento para Conservadores-Restauradores,2001,2001,EXTENSAO,"['Maria Regina Emery Quites', 'Gilca Flores de Medeiros']","['SIM', 'NAO']"
Restauração de 48 obras do Acervo da cidade de Paracatu,2001,2001,EXTENSAO,"['Maria Regina Emery Quites', 'Anamaria Ruegger Almeida Neves', 'Moema Nascimento Queiroz', 'Mario Anacleto Sousa Junior']","['NAO', 'SIM', 'NAO', 'NAO']"
Tecnologia dos olhos de vidro na escultura policromada,2008,2009,PESQUISA,['Maria Regina Emery Quites'],['SIM']
Potencialidade da radiografia no exame e diagnóstico do estado de conservação da escultura policromada,2008,2009,PESQUISA,['Maria Regina Emery Quites'],['SIM']
Análise e avaliação do acervo documental de esculturas policromadas do Centro de conservação-Restauração de bens Culturais Móveis-Cecor,2000,2001,PESQUISA,['Maria Regina Emery Quites'],['SIM']
Imagem de Vestir: revisão de conceitos através de estudo comparativo entre as Ordens Terceiras Franciscanas no Brasil,2001,2006,PESQUISA,['Maria Regina Emery Quites'],['SIM']
?PINHO-DE-RIGA? EM ESCULTURAS POLICROMADAS: identificação de madeiras e trânsito entre os continentes,2014,2015,PESQUISA,"['Maria Regina Emery Quites', 'Sergio Medrano', 'Raphael Jaquier Bossler Pigozzo', 'Silvana Mary Bettio']","['SIM', 'NAO', 'NAO', 'NAO']"
"FOLHA DE PRATA: FATURA, APLICAÇÃO TÉCNICA E PRESERVAÇÃO NA POLICROMIA MINEIRA",2015,2020,PESQUISA,"['Maria Regina Emery Quites', 'Silvana Bettio']","['SIM', 'NAO']"
A imaginária da Paixão de Cristo na Ordem Terceira Carmelita de Ouro Preto,2015,2017,PESQUISA,"['Maria Regina Emery Quites', 'Lia Sipauba Proença Brusadin']","['NAO', 'SIM']"
"HISTÓRIA E ANÁLISE FORMAL, ESTILÍSTICA E TÉCNICA DE ESCULTURAS SACRAS EM GESSO DE MINAS GERAIS : TRAJETÓRIAS DAS FEITURAS E DEVOÇÕES",2013,2015,PESQUISA,"['Maria Regina Emery Quites', 'Beatriz Ramos de Vasconcelos Coelhc', 'Nelyane Santos', 'Maria Clara Assis']","['SIM', 'NAO', 'NAO', 'NAO']"
ESTUDO METODOLÓGICO PARA ANÁLISE FORMAL DE ESCULTURAS POLICROMADAS,2013,2013,PESQUISA,"['Maria Regina Emery Quites', 'Fábio Mendes Zarattini']","['SIM', 'NAO']"
Projeto Extramuros - Restauração de obras sacras do patrimônio mineiro,2017,2017,EXTENSAO,"['Maria Regina Emery Quites', 'Bethania Reis Veloso', 'Luiz Antônio Cruz Souza']","['NAO', 'SIM', 'NAO']"
CONSERVAÇÃO-RESTAURAÇÃO DE IMAGENS DEVOCIONAIS:  reflexões teórico-conceituais e metodológicas,2015,2020,PESQUISA,"['Maria Regina Emery Quites', 'Laura Fiorini']","['SIM', 'NAO']"
"Escultura Policromada: material, técnica, análise formal/estilística, iconográfica, histórica e conservação-restauração.",2017,ATUAL,PESQUISA,"['Maria Regina Emery Quites', 'Beatriz Ramos de Vasconcelos Coelho']","['SIM', 'NAO']"
Encontros Virtuais do Grupo de Pesquisa IMAGEM e PRESERVAÇÃO do CNPq,2020,ATUAL,EXTENSAO,"['Maria Regina Emery Quites', 'Beatriz Ramos de Vasconcelos Coelhc', 'Fábio Mendes Zarattini', 'Vanessa Taveira']","['SIM', 'NAO', 'NAO', 'NAO']"
A imaginária processional na Semana Santa em Minas Gerais,1992,1997,PESQUISA,['Maria Regina Emery Quites'],['SIM']
X Congresso do Centro de Estudos da Imaginária Brasileira,2017,2017,EXTENSAO,"['Maria Regina Emery Quites', 'Beatriz Ramos de Vasconcelos Coelhc']","['SIM', 'NAO']"
